"","GEOID","avg_distance_metro_miles","avg_distance_bus_miles","LOCATION","AREA_SQMI","E_TOTPOP","E_HU","E_HH","E_POV150","E_UNEMP","E_HBURD","E_NOHSDP","E_UNINSUR","E_AGE65","E_AGE17","E_DISABL","E_SNGPNT","E_LIMENG","E_MINRTY","E_MUNIT","E_MOBILE","E_CROWD","E_NOVEH","E_GROUPQ","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","train_walking_category","bus_walking_category"
"99",11001006500,0.2,0.23,"Census Tract 65; District of Columbia; District of Columbia",0.19664059,2732,1585,1380,620,104,166,13,106,416,496,108,32,69,863,503,0,11,320,187,22.9,6.4,12,0.6,3.9,15.2,18.2,4,2.3,2.7,31.6,31.7,0,0.8,23.2,6.8,0.6585,0.5415,0.1478,0.122,0.6878,2.1576,0.4433,0.7024,0.5366,0.0878,0.3695,0.7854,2.4817,0.4631,0.1902,0.1902,0.1902,0.3793,0,0.2512,0.266,0.8732,1.7697,0.3695,6.5992,0.4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0-5 minutes","6-10 minutes"
"100",11001006600,0.36,0.1,"Census Tract 66; District of Columbia; District of Columbia",0.110099302,2174,1251,1120,168,107,222,40,40,415,306,150,20,38,466,377,0,10,271,9,7.8,7.5,19.8,2.2,1.9,19.1,14.1,7,1.8,1.9,21.4,30.1,0,0.9,24.2,0.4,0.2195,0.6195,0.3892,0.2634,0.3805,1.8721,0.3448,0.8244,0.3854,0.2927,0.33,0.7024,2.5349,0.4828,0.0244,0.0244,0.0244,0.3645,0,0.3054,0.2906,0.3122,1.2727,0.1675,5.7041,0.2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"101",11001006700,0.44,0.12,"Census Tract 67; District of Columbia; District of Columbia",0.165389881,4058,2093,2067,78,94,181,15,30,915,610,281,30,12,738,84,0,0,323,5,1.9,3.7,8.8,0.5,0.8,22.5,15,7,1.4,0.3,18.2,4,0,0,15.6,0.1,0.0146,0.3902,0.0788,0.1122,0.1561,0.7519,0.0788,0.9024,0.4098,0.2927,0.2808,0.322,2.2077,0.3695,0.0049,0.0049,0.0049,0.0493,0,0,0.1281,0.2049,0.3823,0.0197,3.3468,0.0246,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"10+ minutes","0-5 minutes"
"102",11001006801,0.24,0.07,"Census Tract 68.01; District of Columbia; District of Columbia",0.094498465,2315,1114,1014,465,117,116,48,30,113,389,215,28,4,1161,134,0,0,198,68,20.1,7.8,11.4,2.9,1.3,4.9,16.8,9.4,2.8,0.2,50.2,12,0,0,19.5,2.9,0.6244,0.6341,0.1182,0.3171,0.2537,1.9475,0.3695,0.1171,0.4634,0.4732,0.4286,0.2976,1.7799,0.2562,0.4049,0.4049,0.4049,0.1527,0,0,0.197,0.7366,1.0863,0.1182,5.2186,0.1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"103",11001006802,0.29,0.08,"Census Tract 68.02; District of Columbia; District of Columbia",0.108150259,2158,1119,1018,226,202,135,17,21,281,328,119,17,0,977,264,0,0,161,22,10.5,14.4,13.3,1,1,13,15.2,5.6,1.7,0,45.3,23.6,0,0,15.8,1,0.3317,0.8244,0.1823,0.1707,0.1902,1.6993,0.2956,0.6049,0.4244,0.1512,0.3153,0,1.4958,0.1675,0.3512,0.3512,0.3512,0.2709,0,0,0.1429,0.4927,0.9065,0.064,4.4528,0.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"104",11001006804,0.31,0.04,"Census Tract 68.04; District of Columbia; District of Columbia",0.595476234,2102,18,18,220,18,3,410,0,173,7,97,6,52,1939,9,0,0,0,2066,84.3,33.3,16.7,23.3,0,8.2,0.3,37.2,33.3,2.5,92.2,50,0,0,0,98.3,0.9951,0.9951,0.3202,0.9854,0,3.2958,0.7044,0.2878,0.0244,0.9951,0.9901,0.7707,3.0681,0.7044,0.7512,0.7512,0.7512,0.5862,0,0,0,0.9902,1.5764,0.2857,8.6915,0.665,1,1,0,1,0,3,0,0,1,1,0,2,0,0,0,0,0,0,1,1,6,"6-10 minutes","0-5 minutes"
"105",11001006900,0.27,0.15,"Census Tract 69; District of Columbia; District of Columbia",0.153866666,2684,1378,1259,127,13,70,7,31,163,573,165,33,0,609,403,0,36,303,15,4.7,0.7,5.6,0.3,1.2,6.1,21.3,6.2,2.6,0,22.7,29.2,0,2.9,24.1,0.6,0.0976,0.0488,0.0296,0.0927,0.2341,0.5028,0.0099,0.1902,0.6244,0.2,0.4089,0,1.4235,0.133,0.0293,0.0293,0.0293,0.3547,0,0.5468,0.2808,0.3756,1.5579,0.266,3.5135,0.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"106",11001007000,0.32,0.17,"Census Tract 70; District of Columbia; District of Columbia",0.169681404,2474,1249,1030,59,50,64,16,7,305,423,173,0,2,693,86,0,15,183,354,2.8,3.2,6.2,0.9,0.3,12.3,17.1,8.2,0,0.1,28,6.9,0,1.5,17.8,14.3,0.0244,0.3122,0.0394,0.1561,0.0878,0.6199,0.0443,0.5512,0.478,0.3902,0,0.278,1.6974,0.2315,0.1268,0.1268,0.1268,0.0985,0,0.4138,0.1724,0.9463,1.631,0.3103,4.0751,0.0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"6-10 minutes","0-5 minutes"
"107",11001007100,0.3,0.09,"Census Tract 71; District of Columbia; District of Columbia",0.232519505,3438,1623,1486,1180,85,295,186,81,307,591,424,123,36,2337,734,0,77,494,11,34.3,4.6,19.9,7.8,2.4,8.9,17.2,12.5,8.3,1.1,68,45.2,0,5.2,33.2,0.3,0.7854,0.4488,0.399,0.639,0.4585,2.7307,0.5911,0.3415,0.4878,0.6683,0.6995,0.5854,2.7825,0.5714,0.5561,0.5561,0.5561,0.5567,0,0.798,0.4828,0.2829,2.1204,0.6158,8.1897,0.6158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"108",11001007201,0.34,0.12,"Census Tract 72.01; District of Columbia; District of Columbia",0.301722111,2417,2024,1776,97,104,294,0,30,10,0,29,0,10,748,1987,0,0,736,0,4,4.7,16.6,0,1.3,0.4,0,1.3,0,0.4,30.9,98.2,0,0,41.4,0,0.0585,0.4585,0.3103,0,0.2537,1.081,0.1429,0.0146,0,0.0049,0,0.3512,0.3707,0.0099,0.1707,0.1707,0.1707,0.9557,0,0,0.6453,0,1.601,0.3005,3.2234,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"6-10 minutes","0-5 minutes"
